"hello, you there?",yeah.,jemoka#1284,1611524387.0305803,184-d4f67-3c29f
How much do you like french fries?,how much do you like like?,zbuster05#8071,1611524413.040542,184-d4f67-3c29f
I don't really like like I can confirm,I don't really like really confirm likeI can confirm in without you.,zbuster05#8071,1611524435.9813023,184-d4f67-3c29f
"Ah, got it","ah, it got it got,",zbuster05#8071,1611524457.217326,184-d4f67-3c29f
hello man,yeah.,jemoka#1284,1611524546.4404914,184-d4f67-3c29f
"Ok, I better go do some work and stop talking to you. It was nice talking.",I can tell you whatI'm talking about.,zbuster05#8071,1611524572.49024,184-d4f67-3c29f
well I can tell you,wellI can tell you you you can tell you,zbuster05#8071,1611524593.883096,184-d4f67-3c29f
"ok, let's do this!",I'm not sure.,jemoka#1284,1611524604.49709,184-d4f67-3c29f
why are you not sure?,why are you sure not?,jemoka#1284,1611524619.1504602,184-d4f67-3c29f
"Who are you, anyways?",I'm going to need your help.,jemoka#1284,1611524639.2237434,184-d4f67-3c29f
ok. How could I help you?,I'm fine.,jemoka#1284,1611524672.7350385,184-d4f67-3c29f
Right but you said you needed my help!,but you said my right help you!,jemoka#1284,1611524690.303615,184-d4f67-3c29f
"The core is true, man!","true,I'd like to see you.",jemoka#1284,1611525137.4369016,184-d4f67-3c29f
Do you have a nuclear weapon?,not a year.,jemoka#1284,1611525149.31706,184-d4f67-3c29f
"The core is true, man!","true, I'd like to see you.",jemoka#1284,1611525183.0856545,184-d4f67-3c29f
Excellent. Capitalization is working.,"nice to meet you, miss.",jemoka#1284,1611525204.2954812,184-d4f67-3c29f
"I am not a girl""",""" I am not a girl """,jemoka#1284,1611525242.830401,184-d4f67-3c29f
I am really not a girl!,I am not really a girl!,jemoka#1284,1611525257.2735436,184-d4f67-3c29f
"I know you aren't, but I am not either.","I know you aren't either, but I am not either.",jemoka#1284,1611525276.6367378,184-d4f67-3c29f
<u>Are you ok?!!</u>,"I'm fine, honey.",jemoka#1284,1611525402.6077025,184-d4f67-3c29f
No!!!!!!!!!!!!!!,no!!!!!!!!,jemoka#1284,1611525425.7841408,184-d4f67-3c29f
I want to introduce you to my friend Zach!,"oh, please.",jemoka#1284,1611525442.5835135,184-d4f67-3c29f
What do you think about M I C A H?,I don't know.,jemoka#1284,1611525692.1899323,184-d4f67-3c29f
What do you think about C H I C K E N?,I don't know.,jemoka#1284,1611525713.3840115,184-d4f67-3c29f
What do you think about B A N A N A S?,what do you think about a b.s. c.,jemoka#1284,1611525723.4203594,184-d4f67-3c29f
What do you think about bananas?,what do you think about?,jemoka#1284,1611525731.397017,184-d4f67-3c29f
"fuck you, man!","fuck you, man!",jemoka#1284,1611525750.6536784,184-d4f67-3c29f
Ok you are now swearing at me back?,I'm not a good friend of mine.,jemoka#1284,1611525771.027419,184-d4f67-3c29f
pushing the chicken chicken chicken duck banana boundaries of the cookie swim swimming edge,that is the last person they want to be here.,jemoka#1284,1611525796.2168784,184-d4f67-3c29f
that block clutch in bridge was epic,that was in was bad bridge bridge bridge where bridge where bridge bridge bad bridge ain't my ass with this place.,zbuster05#8071,1611526386.1434488,184-d4f67-3c29f
What do you think I should name my dog?,what do you think I should name my dog?,zbuster05#8071,1611526471.1206684,184-d4f67-3c29f
Joey,how do you know?,zbuster05#8071,1611526493.5034416,184-d4f67-3c29f
I don’t know i just think so,I don't know so I think this is so important.,zbuster05#8071,1611526521.3434293,184-d4f67-3c29f
How is your essay going/,you're not going anywhere.,zbuster05#8071,1611527205.190011,184-d4f67-3c29f
how is your essay going?,I don't know.,zbuster05#8071,1611527227.616877,184-d4f67-3c29f
I'm doing this to give Jack data.,I'm doing this to jack.,zbuster05#8071,1611527260.2599506,184-d4f67-3c29f
Are you now?,yes.,zbuster05#8071,1611527279.1501832,184-d4f67-3c29f
are you over fit?,yes.,zbuster05#8071,1611527351.3764668,184-d4f67-3c29f
at least you're honest about it,at least you're honest about it at least it,zbuster05#8071,1611527370.556778,184-d4f67-3c29f
at least you're honest about it.,at least you're honest about it.,zbuster05#8071,1611527404.5732813,184-d4f67-3c29f
i am sad,"I am sad, mr.",Enquirer#7338,1611528825.3765268,184-d4f67-3c29f
i am sad,"I am sad, mr.",Enquirer#7338,1611528834.0531301,184-d4f67-3c29f
i want to kill myself,I want to kill myself I want myself to kill myself.,Enquirer#7338,1611528847.686607,184-d4f67-3c29f
i want to kill my husband,I want to kill my husband my husband.,Enquirer#7338,1611528882.099818,184-d4f67-3c29f
i want to marry my husband,I want to marry my husband.,Enquirer#7338,1611528919.5964851,184-d4f67-3c29f
what do you think about cross country,what do you think about country you think you do about country country I cross about you country and cross - and now I cannot be cross -,compilerish#0400,1611528989.2433715,184-d4f67-3c29f
[],[ beat ],compilerish#0400,1611529060.393352,184-d4f67-3c29f
amazing,I don't know.,zbuster05#8071,1611529080.3165064,184-d4f67-3c29f
{},yeah.,compilerish#0400,1611529087.6994696,184-d4f67-3c29f
trees,"- - well, look at this!",zbuster05#8071,1611529133.4919107,184-d4f67-3c29f
dogs,dogs don't be one.,zbuster05#8071,1611529154.2598357,184-d4f67-3c29f
.,.,zbuster05#8071,1611529174.333626,184-d4f67-3c29f
fuck,fuck.,Enquirer#7338,1611529212.7698183,184-d4f67-3c29f
no you,no you,Enquirer#7338,1611529230.373333,184-d4f67-3c29f
no you.,no you.,zbuster05#8071,1611529244.026667,184-d4f67-3c29f
no you!,no you!,Enquirer#7338,1611529251.2950766,184-d4f67-3c29f
i need to go focus,I need to go to sleep.,zbuster05#8071,1611529270.7398813,184-d4f67-3c29f
Oh man you are over fit.,oh man over you are.,jemoka#1284,1611529279.0731034,184-d4f67-3c29f
jack we know it's you,we know it's you know jack?,Enquirer#7338,1611529300.2195396,184-d4f67-3c29f
